month,day,hour,value
1,1,0,0.1
1,1,100,0.8
1,1,200,1.8
1,1,300,4.4
1,1,400,5.1
1,1,500,6.9
1,1,600,7
1,1,700,6.6
1,1,800,6.6
1,1,900,6.3
1,1,1000,6
1,1,1100,5.6
1,1,1200,5.4
1,1,1300,5.3
1,1,1400,5
1,1,1500,4.9
1,1,1600,4.6
1,1,1700,4.5
1,1,1800,4.4
1,1,1900,4.3
1,1,2000,4.3
1,1,2100,4.3
1,1,2200,4.3
1,1,2300,4.4
1,2,0,4.5
1,2,100,4.8
1,2,200,5.8
1,2,300,5.5
1,2,400,5.7
1,2,500,5.8
1,2,600,5.5
1,2,700,5
1,2,800,4.4
1,2,900,4.1
1,2,1000,3.7
1,2,1100,3.6
1,2,1200,3.2
1,2,1300,2.9
1,2,1400,2.5
1,2,1500,2.4
1,2,1600,2.4
1,2,1700,2
1,2,1800,2.2
1,2,1900,2.2
1,2,2000,2.2
1,2,2100,1.7
1,2,2200,1.7
1,2,2300,2
1,3,0,2.5
1,3,100,3.6
1,3,200,4.8
1,3,300,3.3
1,3,400,4.3
1,3,500,4.9
1,3,600,3.2
1,3,700,3.4
1,3,800,2
1,3,900,2.2
1,3,1000,2.2
1,3,1100,2.2
1,3,1200,1.7
1,3,1300,1.4
1,3,1400,0.7
1,3,1500,0.6
1,3,1600,0.1
1,3,1700,-0.4
1,3,1800,-0.9
1,3,1900,-1.2
1,3,2000,-1.8
1,3,2100,-1.7
1,3,2200,-1.7
1,3,2300,-1.5
1,4,0,0.3
1,4,100,1.5
1,4,200,3.4
1,4,300,4.1
1,4,400,5.4
1,4,500,5.2
1,4,600,5.6
1,4,700,5.3
1,4,800,5
1,4,900,4.5
1,4,1000,3.9
1,4,1100,3
1,4,1200,3
1,4,1300,3
1,4,1400,2.5
1,4,1500,1.8
1,4,1600,1.8
1,4,1700,1.5
1,4,1800,1.2
1,4,1900,1.2
1,4,2000,1.7
1,4,2100,2.6
1,4,2200,3.2
1,4,2300,4.3
1,5,0,4.6
1,5,100,5.1
1,5,200,6.6
1,5,300,8.1
1,5,400,9.3
1,5,500,9.8
1,5,600,9.6
1,5,700,8.8
1,5,800,8.3
1,5,900,7.5
1,5,1000,6.8
1,5,1100,5.5
1,5,1200,4.7
1,5,1300,4
1,5,1400,3
1,5,1500,2.7
1,5,1600,2.2
1,5,1700,1.7
1,5,1800,1.2
1,5,1900,1
1,5,2000,0.4
1,5,2100,0
1,5,2200,-0.2
1,5,2300,0.6
1,6,0,1.7
1,6,100,3.1
1,6,200,4.3
1,6,300,4.8
1,6,400,5.5
1,6,500,5.8
1,6,600,5.1
1,6,700,4.3
1,6,800,3.5
1,6,900,2.5
1,6,1000,2
1,6,1100,2.2
1,6,1200,0.8
1,6,1300,0.4
1,6,1400,0.4
1,6,1500,0
1,6,1600,0.1
1,6,1700,-0.6
1,6,1800,-1.3
1,6,1900,-1.2
1,6,2000,-1.7
1,6,2100,-1.8
1,6,2200,-2
1,6,2300,-1.7
1,7,0,-1.5
1,7,100,-1.1
1,7,200,-0.1
1,7,300,0.4
1,7,400,-0.6
1,7,500,-0.6
1,7,600,-1.3
1,7,700,-1.6
1,7,800,-2
1,7,900,-2.6
1,7,1000,-3.4
1,7,1100,-3.9
1,7,1200,-4.3
1,7,1300,-4.8
1,7,1400,-5.1
1,7,1500,-5.5
1,7,1600,-6.1
1,7,1700,-6.5
1,7,1800,-6.7
1,7,1900,-6.9
1,7,2000,-6.9
1,7,2100,-7
1,7,2200,-7
1,7,2300,-6
1,8,0,-4.7
1,8,100,-3.6
1,8,200,-2.7
1,8,300,-0.7
1,8,400,0
1,8,500,0.9
1,8,600,0.6
1,8,700,0.1
1,8,800,-0.4
1,8,900,-1.2
1,8,1000,-1.8
1,8,1100,-1.9
1,8,1200,-2
1,8,1300,-2.6
1,8,1400,-2.9
1,8,1500,-3
1,8,1600,-2.9
1,8,1700,-2.7
1,8,1800,-2.4
1,8,1900,-2.2
1,8,2000,-1.8
1,8,2100,-1.6
