id,target,측정일시
32159,,2024-12-01 00:00:00
32064,,2024-12-01 00:15:00
32065,,2024-12-01 00:30:00
32066,,2024-12-01 00:45:00
32067,,2024-12-01 01:00:00
32068,,2024-12-01 01:15:00
32069,,2024-12-01 01:30:00
32070,,2024-12-01 01:45:00
32071,,2024-12-01 02:00:00
32072,,2024-12-01 02:15:00
32073,,2024-12-01 02:30:00
32074,,2024-12-01 02:45:00
32075,,2024-12-01 03:00:00
32076,,2024-12-01 03:15:00
32077,,2024-12-01 03:30:00
32078,,2024-12-01 03:45:00
32079,,2024-12-01 04:00:00
32080,,2024-12-01 04:15:00
32081,,2024-12-01 04:30:00
32082,,2024-12-01 04:45:00
32083,,2024-12-01 05:00:00
32084,,2024-12-01 05:15:00
32085,,2024-12-01 05:30:00
32086,,2024-12-01 05:45:00
32087,,2024-12-01 06:00:00
32088,,2024-12-01 06:15:00
32089,,2024-12-01 06:30:00
32090,,2024-12-01 06:45:00
32091,,2024-12-01 07:00:00
32092,,2024-12-01 07:15:00
32093,,2024-12-01 07:30:00
32094,,2024-12-01 07:45:00
32095,,2024-12-01 08:00:00
32096,,2024-12-01 08:15:00
32097,,2024-12-01 08:30:00
32098,,2024-12-01 08:45:00
32099,,2024-12-01 09:00:00
32100,,2024-12-01 09:15:00
32101,,2024-12-01 09:30:00
32102,,2024-12-01 09:45:00
32103,,2024-12-01 10:00:00
32104,,2024-12-01 10:15:00
32105,,2024-12-01 10:30:00
32106,,2024-12-01 10:45:00
32107,,2024-12-01 11:00:00
32108,,2024-12-01 11:15:00
32109,,2024-12-01 11:30:00
32110,,2024-12-01 11:45:00
32111,8247.7890625,2024-12-01 12:00:00
32112,2592.955078125,2024-12-01 12:15:00
32113,2816.7431640625,2024-12-01 12:30:00
32114,2801.739501953125,2024-12-01 12:45:00
32115,5769.99072265625,2024-12-01 13:00:00
32116,6133.2548828125,2024-12-01 13:15:00
32117,6623.306640625,2024-12-01 13:30:00
32118,6648.3173828125,2024-12-01 13:45:00
32119,6631.169921875,2024-12-01 14:00:00
32120,6801.17041015625,2024-12-01 14:15:00
32121,8053.91357421875,2024-12-01 14:30:00
32122,8105.56787109375,2024-12-01 14:45:00
32123,8164.12060546875,2024-12-01 15:00:00
32124,8228.666015625,2024-12-01 15:15:00
32125,8281.7021484375,2024-12-01 15:30:00
32126,8328.6708984375,2024-12-01 15:45:00
32127,8361.357421875,2024-12-01 16:00:00
32128,8416.8388671875,2024-12-01 16:15:00
32129,8458.2685546875,2024-12-01 16:30:00
32130,8495.6708984375,2024-12-01 16:45:00
32131,3253.82421875,2024-12-01 17:00:00
32132,3146.703125,2024-12-01 17:15:00
32133,3183.236572265625,2024-12-01 17:30:00
32134,3178.3291015625,2024-12-01 17:45:00
32135,2575.978759765625,2024-12-01 18:00:00
32136,2593.77734375,2024-12-01 18:15:00
32137,2562.448974609375,2024-12-01 18:30:00
32138,2587.884765625,2024-12-01 18:45:00
32139,2591.62109375,2024-12-01 19:00:00
32140,2603.4677734375,2024-12-01 19:15:00
32141,2607.880615234375,2024-12-01 19:30:00
32142,2580.244384765625,2024-12-01 19:45:00
32143,2412.922607421875,2024-12-01 20:00:00
32144,2460.46826171875,2024-12-01 20:15:00
32145,2463.185302734375,2024-12-01 20:30:00
32146,2470.084228515625,2024-12-01 20:45:00
32147,2325.40771484375,2024-12-01 21:00:00
32148,2613.530517578125,2024-12-01 21:15:00
32149,2583.569580078125,2024-12-01 21:30:00
32150,2579.372314453125,2024-12-01 21:45:00
32151,2375.939208984375,2024-12-01 22:00:00
32152,2187.091064453125,2024-12-01 22:15:00
32153,2220.265869140625,2024-12-01 22:30:00
32154,2222.6435546875,2024-12-01 22:45:00
32155,2394.52880859375,2024-12-01 23:00:00
32156,2189.482421875,2024-12-01 23:15:00
32157,2194.85986328125,2024-12-01 23:30:00
32158,2200.237548828125,2024-12-01 23:45:00
32255,1925.23681640625,2024-12-02 00:00:00
32160,1929.7938232421875,2024-12-02 00:15:00
32161,1949.034912109375,2024-12-02 00:30:00
32162,1966.537353515625,2024-12-02 00:45:00
32163,1867.7889404296875,2024-12-02 01:00:00
32164,1895.08935546875,2024-12-02 01:15:00
32165,1919.842041015625,2024-12-02 01:30:00
32166,1943.8028564453125,2024-12-02 01:45:00
32167,1331.7000732421875,2024-12-02 02:00:00
32168,1362.1485595703125,2024-12-02 02:15:00
32169,1396.8568115234375,2024-12-02 02:30:00
32170,1433.4337158203125,2024-12-02 02:45:00
32171,1256.7965087890625,2024-12-02 03:00:00
32172,1287.2479248046875,2024-12-02 03:15:00
32173,1321.9339599609375,2024-12-02 03:30:00
32174,1360.7020263671875,2024-12-02 03:45:00
32175,1201.2135009765625,2024-12-02 04:00:00
32176,1209.8094482421875,2024-12-02 04:15:00
32177,1241.5377197265625,2024-12-02 04:30:00
32178,1284.8892822265625,2024-12-02 04:45:00
32179,1144.0487060546875,2024-12-02 05:00:00
32180,1155.7637939453125,2024-12-02 05:15:00
32181,1176.4727783203125,2024-12-02 05:30:00
32182,1209.3065185546875,2024-12-02 05:45:00
32183,1089.9490966796875,2024-12-02 06:00:00
32184,1107.2628173828125,2024-12-02 06:15:00
32185,1127.6529541015625,2024-12-02 06:30:00
32186,1149.6737060546875,2024-12-02 06:45:00
32187,1053.8477783203125,2024-12-02 07:00:00
32188,1073.6695556640625,2024-12-02 07:15:00
32189,1099.8919677734375,2024-12-02 07:30:00
32190,1166.3465576171875,2024-12-02 07:45:00
32191,3646.438232421875,2024-12-02 08:00:00
32192,3965.629150390625,2024-12-02 08:15:00
32193,4758.859375,2024-12-02 08:30:00
32194,4862.2216796875,2024-12-02 08:45:00
32195,4139.1669921875,2024-12-02 09:00:00
32196,3428.780517578125,2024-12-02 09:15:00
32197,3576.856201171875,2024-12-02 09:30:00
32198,3601.584228515625,2024-12-02 09:45:00
32199,2252.58837890625,2024-12-02 10:00:00
32200,2279.95849609375,2024-12-02 10:15:00
32201,2247.67919921875,2024-12-02 10:30:00
32202,2205.615478515625,2024-12-02 10:45:00
32203,2231.8193359375,2024-12-02 11:00:00
32204,1854.80126953125,2024-12-02 11:15:00
32205,1787.8382568359375,2024-12-02 11:30:00
32206,1806.781005859375,2024-12-02 11:45:00
32207,1911.671875,2024-12-02 12:00:00
32208,1947.7083740234373,2024-12-02 12:15:00
32209,2183.200927734375,2024-12-02 12:30:00
32210,2168.179931640625,2024-12-02 12:45:00
32211,2219.767333984375,2024-12-02 13:00:00
32212,2224.50146484375,2024-12-02 13:15:00
32213,2228.864501953125,2024-12-02 13:30:00
32214,2231.734619140625,2024-12-02 13:45:00
32215,2238.713134765625,2024-12-02 14:00:00
32216,2240.350830078125,2024-12-02 14:15:00
32217,2244.41552734375,2024-12-02 14:30:00
32218,2248.366943359375,2024-12-02 14:45:00
32219,2276.56298828125,2024-12-02 15:00:00
32220,2280.7548828125,2024-12-02 15:15:00
32221,2284.56591796875,2024-12-02 15:30:00
32222,2288.487548828125,2024-12-02 15:45:00
32223,2337.71533203125,2024-12-02 16:00:00
32224,2314.626953125,2024-12-02 16:15:00
32225,2318.480712890625,2024-12-02 16:30:00
32226,2350.26611328125,2024-12-02 16:45:00
32227,2313.31298828125,2024-12-02 17:00:00
32228,2318.706787109375,2024-12-02 17:15:00
32229,2320.5576171875,2024-12-02 17:30:00
32230,2325.824462890625,2024-12-02 17:45:00
32231,1995.918212890625,2024-12-02 18:00:00
32232,1836.2572021484373,2024-12-02 18:15:00
32233,1840.7415771484373,2024-12-02 18:30:00
32234,1993.5059814453125,2024-12-02 18:45:00
32235,2301.822265625,2024-12-02 19:00:00
32236,2304.18115234375,2024-12-02 19:15:00
32237,2307.4384765625,2024-12-02 19:30:00
32238,2306.54541015625,2024-12-02 19:45:00
32239,2299.557861328125,2024-12-02 20:00:00
32240,2296.019775390625,2024-12-02 20:15:00
32241,2293.816650390625,2024-12-02 20:30:00
32242,2297.65283203125,2024-12-02 20:45:00
32243,2275.011962890625,2024-12-02 21:00:00
32244,2287.69482421875,2024-12-02 21:15:00
32245,2294.2041015625,2024-12-02 21:30:00
32246,2302.4638671875,2024-12-02 21:45:00
32247,2050.719482421875,2024-12-02 22:00:00
32248,1768.76708984375,2024-12-02 22:15:00
32249,1954.8740234375,2024-12-02 22:30:00
32250,1969.3814697265625,2024-12-02 22:45:00
32251,2083.63232421875,2024-12-02 23:00:00
32252,2049.0634765625,2024-12-02 23:15:00
32253,2056.261474609375,2024-12-02 23:30:00
32254,2054.720458984375,2024-12-02 23:45:00
32351,1937.875,2024-12-03 00:00:00
